Zeit;Kanal A
(ms);(V)

-0,99257596;-0,07874016
-0,99254396;0,00000000
-0,99251196;0,00000000
-0,99247996;-0,07874016
-0,99244796;-0,07874016
-0,99241596;-0,07874016
-0,99238396;-0,07874016
-0,99235196;0,00000000
-0,99231996;-0,07874016
-0,99228796;-0,07874016
-0,99225596;-0,07874016
-0,99222396;-0,07874016
-0,99219196;-0,07874016
-0,99215996;0,00000000
-0,99212796;0,00000000
-0,99209596;0,00000000
-0,99206396;0,00000000
-0,99203196;0,00000000
-0,99199996;0,00000000
-0,99196796;-0,07874016
-0,99193596;0,00000000
-0,99190396;-0,07874016
-0,99187196;0,00000000
-0,99183996;-0,07874016
-0,99180796;0,00000000
-0,99177596;0,00000000
-0,99174396;0,00000000
-0,99171196;0,00000000
-0,99167996;0,00000000
-0,99164796;0,00000000
-0,99161596;0,00000000
-0,99158396;0,00000000
-0,99155196;0,00000000
-0,99151996;0,00000000
-0,99148796;0,00000000
-0,99145596;0,00000000
-0,99142396;0,00000000
-0,99139196;0,00000000
-0,99135996;0,00000000
-0,99132796;-0,07874016
-0,99129596;0,00000000
-0,99126396;-0,07874016
-0,99123196;-0,07874016
-0,99119996;-0,07874016
-0,99116796;-0,07874016
-0,99113596;0,00000000
-0,99110396;-0,07874016
-0,99107196;0,00000000
-0,99103996;-0,07874016
-0,99100796;-0,07874016
-0,99097596;-0,07874016
-0,99094396;-0,07874016
-0,99091196;0,00000000
-0,99087996;0,00000000
-0,99084796;-0,07874016
-0,99081596;-0,07874016
-0,99078396;0,00000000
-0,99075196;-0,07874016
-0,99071996;-0,07874016
-0,99068796;0,00000000
-0,99065596;-0,07874016
-0,99062396;0,00000000
-0,99059196;0,00000000
-0,99055996;0,00000000
-0,99052796;0,00000000
-0,99049596;-0,07874016
-0,99046396;-0,07874016
-0,99043196;0,00000000
-0,99039996;-0,07874016
-0,99036796;-0,07874016
-0,99033596;0,00000000
-0,99030396;0,00000000
-0,99027196;0,00000000
-0,99023996;0,00000000
-0,99020796;-0,07874016
-0,99017596;-0,07874016
-0,99014396;-0,07874016
-0,99011196;-0,07874016
-0,99007996;-0,07874016
-0,99004796;-0,07874016
-0,99001596;0,00000000
-0,98998396;-0,07874016
-0,98995196;0,00000000
-0,98991996;0,00000000
-0,98988796;-0,07874016
-0,98985596;-0,07874016
-0,98982396;-0,07874016
-0,98979196;-0,07874016
-0,98975996;0,00000000
-0,98972796;-0,07874016
-0,98969596;-0,07874016
-0,98966396;-0,07874016
-0,98963196;-0,07874016
